user_id,user_ip,start_date,end_date,score,name,email,phone,Name,asdf,"Birth date",desc
0,::1,"2018-12-20 14:01:26","2018-12-20 14:01:48",66,"Levon Midoyan",levonmidoyan@yandex.ru,,,,,
0,::1,"2018-12-21 14:42:45","2018-12-21 14:42:55",0,,,,,,,
0,::1,"2018-12-21 14:48:36","2018-12-21 14:48:44",0,,,,,,,
0,::1,"2018-12-21 14:50:36","2018-12-21 14:50:46",33,,,,,,,
0,::1,"2018-12-21 14:56:10","2018-12-21 14:56:15",33,,,,,,,
0,::1,"2018-12-21 14:56:53","2018-12-21 14:57:00",0,,,,,,,
0,::1,"2018-12-21 14:57:18","2018-12-21 14:57:24",0,,,,,,,
0,::1,"2018-12-21 14:58:16","2018-12-21 14:58:24",33,,,,,,,
0,::1,"2018-12-21 14:59:30","2018-12-21 14:59:38",0,,,,,,,
0,::1,"2018-12-21 15:07:25","2018-12-21 15:07:48",0,,,,,,,
0,::1,"2018-12-21 15:08:10","2018-12-21 15:08:22",0,,,,,,,
0,::1,"2018-12-21 16:43:16","2018-12-21 16:43:53",0,,,,,,,
0,::1,"2018-12-21 16:57:43","2018-12-21 16:58:07",0,,,,,,,
0,::1,"2018-12-21 17:02:36","2018-12-21 17:02:48",0,,,,,,,
0,::1,"2018-12-21 17:05:38","2018-12-21 17:05:56",0,,,,,,,
0,::1,"2018-12-21 17:16:07","2018-12-21 17:16:16",0,,,,,,,
0,::1,"2018-12-21 20:30:02","2018-12-21 20:30:18",33,,,,,,,
0,::1,"2018-12-21 20:35:40","2018-12-21 20:35:48",0,,,,,,,
0,::1,"2018-12-21 20:39:41","2018-12-21 20:39:50",0,,,,,,,
0,::1,"2018-12-21 20:45:41","2018-12-21 20:45:49",33,,,,,,,
0,::1,"2018-12-21 20:47:19","2018-12-21 20:47:27",0,,,,,,,
0,::1,"2018-12-21 20:48:56","2018-12-21 20:49:07",0,,,,,,,
0,::1,"2018-12-21 20:53:18","2018-12-21 20:53:26",0,,,,,,,
0,::1,"2018-12-21 20:54:05","2018-12-21 20:54:16",0,,,,,,,
0,::1,"2018-12-21 20:58:14","2018-12-21 20:58:26",0,,,,,,,
0,::1,"2018-12-24 11:01:24","2018-12-24 11:02:01",0,,,,,,,
0,::1,"2018-12-24 11:26:40","2018-12-24 11:27:07",0,,,,,,,
0,::1,"2018-12-24 11:28:11","2018-12-24 11:28:16",0,,,,,,,
0,::1,"2018-12-24 11:31:14","2018-12-24 11:31:18",0,,,,,,,
0,::1,"2018-12-24 11:38:29","2018-12-24 11:38:53",0,,,,,,,
0,::1,"2018-12-24 11:40:02","2018-12-24 11:40:10",33,,,,,,,
0,::1,"2018-12-24 11:40:48","2018-12-24 11:40:57",0,,,,,,,
0,::1,"2018-12-24 11:44:32","2018-12-24 11:44:40",33,,,,,,,
0,::1,"2018-12-24 11:45:23","2018-12-24 11:45:34",0,,,,,,,
0,::1,"2018-12-24 11:59:05","2018-12-24 11:59:13",0,,,,,,,
0,::1,"2018-12-24 12:03:49","2018-12-24 12:04:01",0,,,,,,,
0,::1,"2018-12-24 12:05:36","2018-12-24 12:05:40",33,,,,,,,
0,::1,"2018-12-24 12:05:49","2018-12-24 12:05:54",0,,,,,,,
0,::1,"2018-12-24 12:55:34","2018-12-24 12:55:53",66,,,,,,,
0,::1,"2018-12-24 12:56:22","2018-12-24 12:56:37",0,,,,,,,
0,::1,"2018-12-24 12:57:02","2018-12-24 12:57:12",0,,,,,,,
0,::1,"2018-12-24 12:57:24","2018-12-24 12:57:30",0,,,,,,,
0,::1,"2018-12-24 12:59:31","2018-12-24 12:59:36",0,,,,,,,
0,::1,"2018-12-24 13:01:16","2018-12-24 13:01:21",0,,,,,,,
0,::1,"2018-12-24 13:01:29","2018-12-24 13:01:36",33,,,,,,,
0,::1,"2018-12-24 15:19:10","2018-12-24 15:19:54",33,asdasdasdadsa,levonmidoyan.midoyan@gmail.com,,,,,
0,::1,"2018-12-24 15:23:38","2018-12-24 15:24:32",33,,levonmidoyan.midoyan@gmail.com,,,,,
0,::1,"2018-12-24 15:24:50","2018-12-24 15:25:04",0,as,levonmidoyan.midoyan@gmail.com,,,,,
0,::1,"2018-12-24 15:27:03","2018-12-24 15:27:22",33,,levon@levon.ru,,,,,
0,::1,"2018-12-24 15:29:44","2018-12-24 15:29:59",0,asd,le@asf.df,,,,,
0,::1,"2018-12-24 15:48:40","2018-12-24 15:48:55",0,asdasd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 15:50:21","2018-12-24 15:50:28",0,asdasd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 15:56:44","2018-12-24 15:56:50",0,asd,le@asf.df,,,,,
0,::1,"2018-12-24 15:59:09","2018-12-24 15:59:16",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:00:37","2018-12-24 16:00:45",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:04:13","2018-12-24 16:04:20",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:05:58","2018-12-24 16:06:06",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:15:53","2018-12-24 16:16:00",33,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:16:47","2018-12-24 16:16:56",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:19:38","2018-12-24 16:19:46",33,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:24:51","2018-12-24 16:24:57",0,asdasd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:26:36","2018-12-24 16:26:42",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:34:20","2018-12-24 16:34:26",33,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:41:07","2018-12-24 16:41:13",0,asd,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:42:00","2018-12-24 16:42:05",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:42:33","2018-12-24 16:42:38",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:48:17","2018-12-24 16:48:21",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:49:09","2018-12-24 16:49:14",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:49:41","2018-12-24 16:49:48",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:50:45","2018-12-24 16:50:51",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:51:26","2018-12-24 16:51:31",0,,asd@jnasd.ru,,,,,
0,::1,"2018-12-24 16:53:14","2018-12-24 16:53:19",0,,asd@jnasd.ru,,,,,
